index	prediction
0	contradiction
1	contradiction
2	entailment
3	entailment
4	contradiction
5	contradiction
6	entailment
7	entailment
8	contradiction
9	contradiction
10	contradiction
11	contradiction
12	entailment
13	contradiction
14	contradiction
15	contradiction
16	contradiction
17	contradiction
18	entailment
19	neutral
20	contradiction
21	contradiction
22	entailment
23	entailment
24	entailment
25	entailment
26	entailment
27	entailment
28	entailment
29	entailment
30	contradiction
31	contradiction
32	entailment
33	entailment
34	contradiction
35	contradiction
36	contradiction
37	contradiction
38	contradiction
39	contradiction
40	entailment
41	entailment
42	contradiction
43	contradiction
44	entailment
45	entailment
46	contradiction
47	contradiction
48	entailment
49	neutral
50	entailment
51	entailment
52	entailment
53	neutral
54	entailment
55	entailment
56	entailment
57	neutral
58	contradiction
59	entailment
60	neutral
61	entailment
62	entailment
63	neutral
64	entailment
65	neutral
66	entailment
67	entailment
68	contradiction
69	contradiction
70	neutral
71	entailment
72	entailment
73	entailment
74	neutral
75	entailment
76	neutral
77	entailment
78	entailment
79	entailment
80	entailment
81	entailment
82	entailment
83	entailment
84	entailment
85	entailment
86	contradiction
87	entailment
88	contradiction
89	contradiction
90	entailment
91	entailment
92	contradiction
93	contradiction
94	entailment
95	entailment
96	contradiction
97	contradiction
98	entailment
99	entailment
100	entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	entailment
106	neutral
107	entailment
108	entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	entailment
114	entailment
115	entailment
116	entailment
117	neutral
118	contradiction
119	neutral
120	entailment
121	entailment
122	entailment
123	neutral
124	entailment
125	entailment
126	entailment
127	entailment
128	entailment
129	neutral
130	entailment
131	neutral
132	entailment
133	neutral
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	entailment
145	entailment
146	entailment
147	entailment
148	entailment
149	entailment
150	entailment
151	entailment
152	contradiction
153	contradiction
154	entailment
155	entailment
156	contradiction
157	contradiction
158	entailment
159	entailment
160	neutral
161	entailment
162	entailment
163	neutral
164	entailment
165	entailment
166	entailment
167	entailment
168	contradiction
169	contradiction
170	entailment
171	entailment
172	contradiction
173	contradiction
174	entailment
175	entailment
176	entailment
177	entailment
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	entailment
184	entailment
185	entailment
186	entailment
187	entailment
188	entailment
189	entailment
190	entailment
191	entailment
192	entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	entailment
199	entailment
200	neutral
201	entailment
202	contradiction
203	contradiction
204	neutral
205	entailment
206	entailment
207	entailment
208	entailment
209	entailment
